status,medicine_id,name,kind,existing_category_id,category_id,confidence,efficacy,pharmacology,atc,aliases,aliases_added,alias_conflicts,detail_url,reason
review_missing_efficacy,,关节炎丸,tcm,,13,0.9,,,,,,,https://www.yao86.com/%E4%B8%AD%E6%88%90%E8%8D%AF/%E5%85%B3%E8%8A%82%E7%82%8E%E4%B8%B8,站点明确收录为中成药，未命中更具体项目类别
review_unclassified,,复方颠茄维B6片,western,,,0.0,本品用于减轻和避免口服复方长效避孕药时发生恶心、头晕、困倦等不良反应。,神经系统用药 | 其他神经系统用药,镇吐药和止呕药 | 其它镇吐药,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E5%A4%8D%E6%96%B9%E9%A2%A0%E8%8C%84%E7%BB%B4B6%E7%89%87,站点分类无法可靠映射到项目现有类别
review_unclassified,,复方吡拉西坦脑蛋白水解物片,western,,,0.0,1、急慢性脑血管病、脑外伤，各种中毒性脑病等各种原因引起的脑神经功能障碍及记忆力减退。2．先天性脑发育不全，儿童智能发育迟缓，老年性痴呆。3、中枢神经系统感染，病毒性脑膜炎，化脓性脑膜炎，精神病。,治疗精神障碍药 | 抗精神病药,精神兴奋药 | 精神兴奋药，用于治疗注意力缺陷多动症药和益智药 | 其它精神兴奋药和益智药,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E5%A4%8D%E6%96%B9%E5%90%A1%E6%8B%89%E8%A5%BF%E5%9D%A6%E8%84%91%E8%9B%8B%E7%99%BD%E6%B0%B4%E8%A7%A3%E7%89%A9%E7%89%87,站点分类无法可靠映射到项目现有类别
review_unclassified,,氟唑帕利胶囊,western,,,0.0,氟唑帕利胶囊用于治疗既往经过二线及以上化疗的伴有 BRCA1/2 致病性或疑似致病性突变的复发性卵巢癌患者。,抗肿瘤药 | 其他抗肿瘤药,抗肿瘤药 | 其它抗肿瘤药物 | 聚（ADP-核糖）聚合酶(PARP)抑制剂,艾瑞颐,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E6%B0%9F%E5%94%91%E5%B8%95%E5%88%A9%E8%83%B6%E5%9B%8A,站点分类无法可靠映射到项目现有类别
review_unclassified,,甘油醇溶液,western,,,0.0,用于滋润皮肤，防止干燥皱裂。,皮肤科用药 | 其他皮肤科药,润肤药和护肤药 | 软石蜡和脂肪类,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E7%94%98%E6%B2%B9%E9%86%87%E6%BA%B6%E6%B6%B2,站点分类无法可靠映射到项目现有类别
review_missing_efficacy,,鬼臼根树脂溶液,western,,2,0.96,,皮肤科用药 | 其他皮肤科药,皮肤病用抗生素和化学治疗药物 | 局部用化疗药 | 抗病毒药,PODOFILM尤力青,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E9%AC%BC%E8%87%BC%E6%A0%B9%E6%A0%91%E8%84%82%E6%BA%B6%E6%B6%B2,站点药理或 ATC 分类明确为抗感染药
review_missing_efficacy,,琥珀酸地文拉法辛缓释片,western,,,0.0,,,精神兴奋药 | 抗抑郁药 | 其它抗抑郁药,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E7%90%A5%E7%8F%80%E9%85%B8%E5%9C%B0%E6%96%87%E6%8B%89%E6%B3%95%E8%BE%9B%E7%BC%93%E9%87%8A%E7%89%87,站点分类无法可靠映射到项目现有类别
review_missing_efficacy,,琥珀酸美托洛尔包衣颗粒,western,,,0.0,,,,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E7%90%A5%E7%8F%80%E9%85%B8%E7%BE%8E%E6%89%98%E6%B4%9B%E5%B0%94%E5%8C%85%E8%A1%A3%E9%A2%97%E7%B2%92,站点分类无法可靠映射到项目现有类别
review_missing_efficacy,,磺胺二甲嘧啶片,western,,2,0.96,,,系统用抗细菌药 | 磺胺类和甲氧苄啶 | 短效磺胺类,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E7%A3%BA%E8%83%BA%E4%BA%8C%E7%94%B2%E5%98%A7%E5%95%B6%E7%89%87,站点药理或 ATC 分类明确为抗感染药
review_missing_efficacy,,磺胺二甲嘧啶混悬液,western,,2,0.96,,,系统用抗细菌药 | 磺胺类和甲氧苄啶 | 短效磺胺类,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E7%A3%BA%E8%83%BA%E4%BA%8C%E7%94%B2%E5%98%A7%E5%95%B6%E6%B7%B7%E6%82%AC%E6%B6%B2,站点药理或 ATC 分类明确为抗感染药
