status,medicine_id,canonical_name,raw_names,proposed_category_id,category_name,confidence,source_categories,source_pages,detail_urls,reason
review_unclassified,,I型医用硅酮凝胶喷雾剂,I型医用硅酮凝胶喷雾剂,,,0.0,搜索-医用纱布,https://ypk.39.net/search/%E5%8C%BB%E7%94%A8%E7%BA%B1%E5%B8%83,https://ypk.39.net/2030493/,搜索结果不含创可贴/纱布/绷带/敷料
already_present,,医用重组人源胶原蛋白功能敷料,医用重组人源胶原蛋白功能敷料(喷雾型) | 医用重组人源胶原蛋白功能敷料(凝胶型),10,,0.92,搜索-医用纱布,https://ypk.39.net/search/%E5%8C%BB%E7%94%A8%E7%BA%B1%E5%B8%83,https://ypk.39.net/2266818/ | https://ypk.39.net/2267152/,药名明确是创可贴绷带类
already_present,,医用几丁糖液体敷料,医用几丁糖液体敷料,10,,0.92,搜索-医用纱布,https://ypk.39.net/search/%E5%8C%BB%E7%94%A8%E7%BA%B1%E5%B8%83,https://ypk.39.net/2296028/,药名明确是创可贴绷带类
already_present,,永益医用纱布块,永益医用纱布块,10,,0.92,搜索-医用纱布,https://ypk.39.net/search/%E5%8C%BB%E7%94%A8%E7%BA%B1%E5%B8%83,https://ypk.39.net/2302568/,药名明确是创可贴绷带类
review_unclassified,,健合Keyhub医用制氧机K5B-3P带雾化型,健合Keyhub医用制氧机K5B-3P带雾化型,,,0.0,搜索-医用纱布,https://ypk.39.net/search/%E5%8C%BB%E7%94%A8%E7%BA%B1%E5%B8%83,https://ypk.39.net/2302610/,搜索结果不含创可贴/纱布/绷带/敷料
review_unclassified,,冠昌GC医用红外额温计FI03,冠昌GC医用红外额温计FI03,,,0.0,搜索-医用纱布,https://ypk.39.net/search/%E5%8C%BB%E7%94%A8%E7%BA%B1%E5%B8%83,https://ypk.39.net/2302720/,搜索结果不含创可贴/纱布/绷带/敷料
already_present,,医用硅酮凝胶敷料,医用硅酮凝胶敷料,10,,0.92,搜索-医用纱布,https://ypk.39.net/search/%E5%8C%BB%E7%94%A8%E7%BA%B1%E5%B8%83,https://ypk.39.net/2309216/ | https://ypk.39.net/2309522/,药名明确是创可贴绷带类
already_present,,津力达颗粒,津力达颗粒(以岭),11,,0.92,糖尿病,https://ypk.39.net/tangniaobing/,https://ypk.39.net/809741/,来源功效分类直接映射
already_present,,阿卡波糖片,阿卡波糖片(拜唐苹),11,,0.92,糖尿病,https://ypk.39.net/tangniaobing/,https://ypk.39.net/498311/,来源功效分类直接映射
already_present,,格列齐特缓释片,格列齐特缓释片(达美康),11,,0.92,糖尿病,https://ypk.39.net/tangniaobing/,https://ypk.39.net/501930/,来源功效分类直接映射
