class_id,class_name,images,instances,precision,recall,f1,map50,map50_95
0,感冒药,82,106,0.9192462302622566,0.8301886792452831,0.8724506520993706,0.9316206590711406,0.7685458679809635
1,止咳化痰,34,41,0.9762284760985183,0.5853658536585366,0.7318812631268773,0.6862757792204663,0.5102130165751904
2,消炎药,119,123,0.8975275860136681,0.7479674796747967,0.8159507256478717,0.8920298925749415,0.7535424662098067
3,止痛药,5,6,0.0,0.0,0.0,0.014848605912780184,0.014544808444425752
4,退烧药,0,0,,,,,
5,肠胃药,117,121,0.9800375736489212,0.8016528925619835,0.881915204278907,0.9087086327189855,0.7271584380672987
6,泻药通便,1,1,1.0,0.0,0.0,0.0,0.0
7,维生素,45,46,0.9844270636904847,0.8695652173913043,0.9234380772550111,0.9104414519278305,0.7227024428753225
8,抗过敏药,14,18,0.3165858880834302,0.6691886455975289,0.42982583628074833,0.2871998123827393,0.24923478087836526
9,外用药,51,62,0.933446060160305,0.41935483870967744,0.5787180099151166,0.5236184515793461,0.40559439997139873
10,创可贴绷带,0,0,,,,,
11,慢性病药,37,40,0.46052523748851326,0.575,0.5114351673323317,0.47073271451663795,0.39573100993425714
12,心血管药,40,40,0.41320385777897717,0.525,0.46244112840786894,0.2618962585365899,0.19558343041845644
13,中成药,287,297,0.8256094745394238,0.6127946127946128,0.703458844041034,0.8090194618932336,0.6319376997056412
14,妇科用药,9,14,0.14902212425578648,0.07142857142857142,0.09656977868722745,0.13026315789473686,0.10606983805668017
15,肛肠用药,0,0,,,,,
16,保健品,12,40,0.46535267693102067,0.2,0.27976301475331117,0.184578888999382,0.15073194484404012
17,其他,55,70,0.5173927703116407,0.32857142857142857,0.4019093997081135,0.3208519942245509,0.24927627594351232
