class_id,class_name,images,instances,precision,recall,f1,map50,map50_95
0,感冒药,82,106,0.7848516541161505,0.8773584905660378,0.8285309348840031,0.8862740584517816,0.7150995282810453
1,止咳化痰,34,41,0.9868815230889953,0.5365853658536586,0.6951856807186014,0.6317956867220371,0.4981221485558237
2,消炎药,119,123,0.9097402461173258,0.7375143961712064,0.8146239337419231,0.8710622467827193,0.7375444899879281
3,止痛药,5,6,0.0,0.0,0.0,0.010607142857142857,0.00954642857142857
4,退烧药,0,0,,,,,
5,肠胃药,117,121,0.9362392284636674,0.8099173553719008,0.8685090523177589,0.9001826297162961,0.6860993737998113
6,泻药通便,1,1,1.0,0.0,0.0,0.0,0.0
7,维生素,45,46,1.0,0.8595097142384299,0.9244476731227466,0.9120503105590062,0.735227809041722
8,抗过敏药,14,18,0.30870810319515796,0.6666666666666666,0.42200271831772,0.3002742421681316,0.2433138553639847
9,外用药,51,62,0.9808423054425747,0.4032258064516129,0.5715050093491029,0.5176043349328383,0.40604447966952195
10,创可贴绷带,0,0,,,,,
11,慢性病药,37,40,0.40809039701135463,0.575,0.4773761985568834,0.49852090139881333,0.41990518558551126
12,心血管药,40,40,0.39411935754798416,0.5041972066268178,0.44241392639974125,0.31832413819054556,0.24425801393394891
13,中成药,287,297,0.8319858859754331,0.6002310712429555,0.6973577251423454,0.804149071491085,0.6247748661218855
14,妇科用药,9,14,0.14057979743508472,0.07142857142857142,0.09472658231679278,0.1289171195652174,0.10759959239130434
15,肛肠用药,0,0,,,,,
16,保健品,12,40,0.4062381699023743,0.25675801739423887,0.31464707970434624,0.25313176794861025,0.20688293926674434
17,其他,55,70,0.5443314496344548,0.38571428571428573,0.4514969711867938,0.3704648439085679,0.2821994979533798
