epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,117.64,0.54295,0.73532,1.39308,0.07061,0.65593,0.48241,0.48856,0.39174,0.72069,1.00218,1.73396,0.11356,9.9639e-05,9.9639e-05,0.00046065
2,208.64,0.47951,0.63639,1.32967,0.05718,0.62193,0.51349,0.48593,0.39062,0.70013,0.98885,1.71193,0.11091,9.90166e-05,9.90166e-05,9.90166e-05
3,311.028,0.45055,0.60026,1.29522,0.05193,0.62316,0.48973,0.47205,0.37841,0.70952,1.02541,1.74214,0.114,9.61095e-05,9.61095e-05,9.61095e-05
4,414.682,0.43104,0.56161,1.26939,0.04884,0.59759,0.50659,0.47172,0.38043,0.69797,1.03157,1.72521,0.10954,9.14058e-05,9.14058e-05,9.14058e-05
5,518.096,0.41532,0.53847,1.24859,0.04558,0.63151,0.48631,0.47343,0.37956,0.70269,1.04698,1.73647,0.11407,8.51109e-05,8.51109e-05,8.51109e-05
6,616.512,0.39885,0.51344,1.2241,0.04298,0.63,0.47374,0.4707,0.3771,0.70447,1.06429,1.73568,0.11353,7.75e-05,7.75e-05,7.75e-05
7,703.032,0.38515,0.48858,1.2077,0.04095,0.62258,0.47117,0.46883,0.37548,0.70525,1.06121,1.75541,0.11096,6.89058e-05,6.89058e-05,6.89058e-05
